system,name,users,bs,MB,lat,min,max,std,iops,us50,us100,us250,us500,ms1,ms2,ms4,ms10,ms20,ms50,ms100,ms250,ms500,s1,s2,s5,p95_00,p99_00,p99_50,p99_90,p99_95,p99_99
pharos,read,1,128K,8.323,15.009,0.6,91,14.2,66,0,0,0,0,12,15,1,14,27,26,3,0,0,0,0,0,42.752,60.16,67.072,91.648,91.648,91.648
pharos,read,1,1M,27.423,36.45,3,184,31.2,27,0,0,0,0,0,0,24,15,0,22,35,2,0,0,0,0,88,117,151,186,186,186
pharos,read,8,1M,81.794,60.78,3,354,51,81,0,0,0,0,0,0,21,7,0,11,42,16,0,0,0,0,147,229,262,355,355,355
pharos,read,16,1M,139.534,63.73,3,342,53.9,139,0,0,0,0,0,0,1,7,25,9,35,19,1,0,0,0,165,258,285,343,343,343
pharos,read,32,1M,183.885,95.54,3,666,87.5,183,0,0,0,0,0,0,1,6,17,9,26,32,5,0,0,0,269,396,474,635,668,668
pharos,read,64,1M,260.511,114.22,3,1597,116.1,260,0,0,0,0,0,0,0,2,8,28,15,33,9,1,0,0,314,510,611,1205,1303,1598
pharos,randread,1,8K,0.159,48.9,5,187,30.4,20,0,0,0,0,0,0,0,0,2,64,26,5,0,0,0,0,108,180,182,188,188,188
pharos,randread,8,8K,1.771,35.156,0.4,433,29.2,226,0,0,0,0,0,0,0,4,21,59,12,2,0,0,0,0,79,157,194,318,367,433
pharos,randread,16,8K,4.362,28.281,0.2,306,25.7,558,0,0,0,0,0,0,1,12,30,44,9,1,0,0,0,0,69,139,186,269,285,306
pharos,randread,32,8K,6.259,39.076,0.4,404,30.7,801,0,0,0,0,0,0,0,3,21,51,17,4,0,0,0,0,99,159,184,249,289,404
pharos,randread,64,8K,8.297,51.736,0.2,429,26.8,1062,0,0,0,0,0,0,0,0,2,54,36,4,0,0,0,0,100,153,184,245,281,359
pharos,write,1,1K,1.679,0.578,0.2,159,1.5,1719,0,0,2,26,70,0,0,0,0,0,0,0,0,0,0,0,0.7,0.852,0.964,14.016,23.424,40.704
pharos,write,1,8K,12.138,0.64,0.2,304,2.7,1553,0,0,0,27,71,0,0,0,0,0,0,0,0,0,0,0,0.708,0.924,4.32,17.792,20.864,49.92
pharos,write,1,128K,53.557,2.329,0.7,1520,25.5,428,0,0,0,0,45,48,0,1,2,0,0,0,0,0,0,0,5.024,20.352,26.24,98.816,156.672,1515.52
pharos,write,4,1K,5.3,0.549,0.2,237,2.6,5427,0,0,25,50,22,0,0,0,0,0,0,0,0,0,0,0,0.692,5.792,9.408,31.104,40.192,101.888
pharos,write,4,8K,45.938,0.483,0.2,846,4.8,5880,0,0,1,83,14,0,0,0,0,0,0,0,0,0,0,0,0.7,0.828,0.996,14.144,19.072,55.552
